,Config,Accuracy,Error,Precision,Recall,F1,Modelo
0,criterio=gini_maxDepth=None_maxFeatures=None_maxLeafNodes=None,0.7762237762237763,0.22377622377622367,0.6964285714285714,0.7222222222222222,0.7090909090909091,DecisionTree
1,criterio=entropy_maxDepth=None_maxFeatures=None_maxLeafNodes=None,0.7762237762237763,0.22377622377622367,0.7037037037037037,0.7037037037037037,0.7037037037037037,DecisionTree
2,kernel=linear_reg=0.1,0.7482517482517482,0.2517482517482518,0.6956521739130435,0.5925925925925926,0.6399999999999999,SVM
3,kernel=linear_reg=0.75,0.7482517482517482,0.2517482517482518,0.6956521739130435,0.5925925925925926,0.6399999999999999,SVM
4,kernel=rbf_reg=1,0.6783216783216783,0.3216783216783217,0.6333333333333333,0.35185185185185186,0.4523809523809524,SVM
5,kernel=poly_reg=1,0.6293706293706294,0.3706293706293706,1.0,0.018518518518518517,0.03636363636363636,SVM
6,kernel=poly_reg=2,0.6293706293706294,0.3706293706293706,1.0,0.018518518518518517,0.03636363636363636,SVM
7,Naive_Bayes,0.7062937062937062,0.2937062937062937,0.6304347826086957,0.5370370370370371,0.5800000000000001,NaiveBayes
8,criterio=entropy_maxDepth=None_maxFeatures=None_maxLeafNodes=None,0.7622377622377622,0.23776223776223776,0.6851851851851852,0.6851851851851852,0.6851851851851852,DecisionTree
9,criterio=gini_maxDepth=None_maxFeatures=None_maxLeafNodes=None,0.7762237762237763,0.22377622377622367,0.6964285714285714,0.7222222222222222,0.7090909090909091,DecisionTree
10,Naive_Bayes,0.7062937062937062,0.2937062937062937,0.6304347826086957,0.5370370370370371,0.5800000000000001,NaiveBayes
11,Naive_Bayes,0.7150837988826816,0.2849162011173184,0.6714285714285714,0.6266666666666667,0.6482758620689655,NaiveBayes
12,Naive_Bayes,0.7150837988826816,0.2849162011173184,0.6714285714285714,0.6266666666666667,0.6482758620689655,NaiveBayes
13,criterio=gini_maxDepth=None_maxFeatures=None_maxLeafNodes=None,0.7762237762237763,0.22377622377622367,0.6896551724137931,0.7407407407407407,0.7142857142857143,DecisionTree
14,criterio=gini_maxDepth=None_maxFeatures=None_maxLeafNodes=None,0.7482517482517482,0.2517482517482518,0.65,0.7222222222222222,0.6842105263157895,DecisionTree
15,kernel=poly_reg=2,0.6293706293706294,0.3706293706293706,1.0,0.018518518518518517,0.03636363636363636,SVM
16,Naive_Bayes,0.7062937062937062,0.2937062937062937,0.6304347826086957,0.5370370370370371,0.5800000000000001,NaiveBayes
17,lr=0.001_epochs=500_batchSize=20,0.7838312829525483,0.21616871704745166,0.69140625,0.8009049773755657,0.7421383647798742,Logistica
18,lr=0.001_epochs=500_batchSize=50,0.7785588752196837,0.2214411247803164,0.6833976833976834,0.8009049773755657,0.7375,Logistica
19,lr=0.0007_epochs=600_batchSize=50,0.7785588752196837,0.2214411247803164,0.6792452830188679,0.8144796380090498,0.7407407407407407,Logistica
20,lr=0.0007_epochs=600_batchSize=100,0.7785588752196837,0.2214411247803164,0.6907630522088354,0.7782805429864253,0.7319148936170213,Logistica
21,lr=0.0007_epochs=1300_batchSize=50,0.7873462214411248,0.2126537785588752,0.7016129032258065,0.7873303167420814,0.7420042643923241,Logistica
22,lr=0.0007_epochs=2300_batchSize=50,0.7855887521968365,0.21441124780316345,0.7071129707112971,0.7647058823529411,0.7347826086956523,Logistica
23,lr=0.004_epochs=2300_batchSize=50,0.7996485061511424,0.20035149384885764,0.7420814479638009,0.7420814479638009,0.7420814479638009,Logistica
24,lr=0.004_epochs=3300_batchSize=50,0.7996485061511424,0.20035149384885764,0.7511737089201878,0.7239819004524887,0.7373271889400922,Logistica
25,kernel=linear_reg=2,0.7622377622377622,0.23776223776223776,0.7272727272727273,0.5925925925925926,0.6530612244897959,SVM
26,kernel=linear_reg=10,0.7482517482517482,0.2517482517482518,0.7368421052631579,0.5185185185185185,0.6086956521739131,SVM
27,criterio=gini_maxDepth=None_maxFeatures=None_maxLeafNodes=None,0.7342657342657343,0.2657342657342657,0.6333333333333333,0.7037037037037037,0.6666666666666667,DecisionTree
28,kernel=linear_reg=10,0.7552447552447552,0.2447552447552448,0.8064516129032258,0.462962962962963,0.5882352941176471,SVM
29,Naive_Bayes,0.7062937062937062,0.2937062937062937,0.6304347826086957,0.5370370370370371,0.5800000000000001,NaiveBayes
30,lr=0.001_epochs=500_batchSize=20,0.7820738137082601,0.2179261862917399,0.6932270916334662,0.7873303167420814,0.7372881355932203,Logistica
31,lr=0.004_epochs=3300_batchSize=50,0.7908611599297012,0.20913884007029876,0.7361111111111112,0.7194570135746606,0.7276887871853546,Logistica
